state,state_fips,county,county_fips,fips,year,population,pub_sup_1,pub_sup_2,pub_sup_3,pub_sup_4,pub_sup_5,pub_sup_6,pub_sup_7,pub_sup_8,pub_sup_9,pub_sup_10,pub_sup_11,pub_sup_12,dom_sup_1,dom_sup_2,dom_sup_3,dom_sup_4,dom_sup_5,dom_sup_6,dom_sup_7,dom_sup_8,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,irrigation_1,irrigation_2,irrigation_3,irrigation_4,irrigation_5,irrigation_6,irrigation_7,crop_1,crop_2,crop_3,crop_4,crop_5,crop_6,crop_7,golf_1,golf_2,golf_3,golf_4,golf_5,golf_6,golf_7,livestock_1,livestock_2,livestock_3,aqua_1,aqua_2,aqua_3,aqua_4,aqua_5,aqua_6,aqua_7,aqua_8,aqua_9,mining_1,mining_2,mining_3,mining_4,mining_5,mining_6,mining_7,mining_8,mining_9,thermoelectric_1,thermoelectric_2,thermoelectric_3,thermoelectric_4,thermoelectric_5,thermoelectric_6,thermoelectric_7,thermoelectric_8,thermoelectric_9,thermoelectric_10,thermoelectric_11,thermoelectric_12,thermoelectric_13,thermoelectric_14,thermoelectric_15,thermoelectric_16,thermoelectric_17,thermoelectric_18,thermoelectric_19,thermoelectric_20,thermoelectric_21,thermoelectric_22,thermoelectric_23,thermoelectric_24,thermoelectric_25,thermoelectric_26,thermoelectric_27,thermoelectric_28,thermoelectric_29,thermoelectric_30,gro_wat_1,gro_wat_2,gro_wat_3,surf_wat_1,surf_wat_2,surf_wat_3,total_withdrawal_1,total_withdrawal_2,total_withdrawal_3
AL,1,Autauga County,1,1001,2010,54.571,,,48.222,5.09,0,5.09,0,0,0,5.09,0,5.09,6.349,0.37,0,0.37,58,3.17,66,3.54,9.89,0,9.89,31.14,0,31.14,41.03,0,41.03,2.88,0.06,2.94,1.9,0.03,0.02,1.95,2.88,0,2.88,1.8,0.03,0.02,1.85,0,0.06,0.06,0.1,0,0,0.1,0.06,0.09,0.15,0,,0,0,,0,0,0,0,0.09,0,0.09,0.04,0,0.04,0.13,0,0.13,0,0,0,5.84,0,5.84,5.84,0,5.84,6738.26,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,0,5.84,5.84,0,5.84,6738.26,18.38,0,18.38,37.17,0,37.17,55.55,0,55.55
AL,1,Baldwin County,3,1003,2010,182.265,,,153.463,22.97,0,22.97,0,0,0,22.97,0,22.97,28.802,1.71,0,1.71,59,11.95,78,13.66,0,0,0,0,0,0,0,0,0,32.3,6.66,38.96,12.44,0.43,0.17,13.04,32.3,5.07,37.37,10.3,0.43,0.17,10.9,0,1.59,1.59,2.14,0,0,2.14,0.16,0.19,0.35,0,,0,0.16,,0.16,0.16,0,0.16,0.21,0,0.21,0,0,0,0.21,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.35,0,57.35,7.01,0,7.01,64.36,0,64.36
AL,1,Barbour County,5,1005,2010,27.457,,,25.555,4.15,0,4.15,0,0,0,4.15,0,4.15,1.902,0.15,0,0.15,79,1.9,74,2.05,1.58,0,1.58,0,0,0,1.58,0,1.58,0.46,1.71,2.17,3.23,0.07,0,3.3,0.46,1.52,1.98,2.93,0.07,0,3,0,0.19,0.19,0.3,0,0,0.3,0.15,0.23,0.38,0.09,,0.09,2.34,,2.34,2.43,0,2.43,0.13,0,0.13,0.06,0,0.06,0.19,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,6.71,4.34,0,4.34,11.05,0,11.05
AL,1,Bibb County,7,1007,2010,22.915,,,21.279,4.89,0,4.89,0,0,0,4.89,0,4.89,1.636,0.15,0,0.15,92,1.69,79,1.84,0,0,0,0,0,0,0,0,0,0.63,0.06,0.69,0.4,0,0,0.4,0.63,0,0.63,0.3,0,0,0.3,0,0.06,0.06,0.1,0,0,0.1,0.03,0.04,0.07,0,,0,1.45,,1.45,1.45,0,1.45,0.36,0,0.36,0,0,0,0.36,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,6.06,1.55,0,1.55,7.61,0,7.61
AL,1,Blount County,9,1009,2010,57.322,,,44.464,2.44,0,2.44,52.17,0,52.17,54.61,0,54.61,12.858,0.89,0,0.89,69,2.98,67,3.87,0,0,0,0,0,0,0,0,0,0.12,0.36,0.48,0.96,0.01,0,0.97,0.12,0.12,0.24,0.55,0.01,0,0.56,0,0.24,0.24,0.41,0,0,0.41,0.47,0.51,0.98,0,,0,0,,0,0,0,0,0.12,0,0.12,0,0,0,0.12,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,4.04,53.04,0,53.04,57.08,0,57.08
AL,1,Bullock County,11,1011,2010,10.914,,,10.176,2.3,0,2.3,0,0,0,2.3,0,2.3,0.738,0.08,0,0.08,108,1.12,110,1.2,0,0,0,0,0,0,0,0,0,0.29,0.32,0.61,0.24,0,0,0.24,0.29,0.29,0.58,0.18,0,0,0.18,0,0.03,0.03,0.06,0,0,0.06,0.05,0.09,0.14,0,,0,0,,0,0,0,0,0.04,0,0.04,0.02,0,0.02,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,2.76,0.43,0,0.43,3.19,0,3.19
AL,1,Butler County,13,1013,2010,20.947,,,17.599,2.7,0,2.7,0,0,0,2.7,0,2.7,3.348,0.28,0,0.28,84,1.34,76,1.62,0.3,0,0.3,0,0,0,0.3,0,0.3,0.02,0.32,0.34,0.44,0,0,0.44,0.02,0.01,0.03,0.06,0,0,0.06,0,0.31,0.31,0.38,0,0,0.38,0.16,0.24,0.4,0.27,,0.27,0.23,,0.23,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,3.73,0.79,0,0.79,4.52,0,4.52
AL,1,Calhoun County,15,1015,2010,118.572,,,112.39,20.83,0,20.83,2.47,0,2.47,23.3,0,23.3,6.182,0.51,0,0.51,82,9.4,84,9.91,0.97,0,0.97,0,0,0,0.97,0,0.97,0,4.09,4.09,3.35,0,0,3.35,0,3.44,3.44,2.47,0,0,2.47,0,0.65,0.65,0.88,0,0,0.88,0.13,0.19,0.32,0,,0,0.02,,0.02,0.02,0,0.02,0.07,0,0.07,0.03,0,0.03,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,0,22.51,6.8,0,6.8,29.31,0,29.31
AL,1,Chambers County,17,1017,2010,34.215,,,25.875,0,0,0,4.31,0,4.31,4.31,0,4.31,8.34,0.71,0,0.71,85,2.11,82,2.82,0,0,0,0,0,0,0,0,0,0.17,0.03,0.2,0.39,0,0,0.39,0.17,0,0.17,0.33,0,0,0.33,0,0.03,0.03,0.06,0,0,0.06,0.07,0.11,0.18,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.95,4.45,0,4.45,5.4,0,5.4
AL,1,Cherokee County,19,1019,2010,25.989,,,17.876,2.53,0,2.53,0.96,0,0.96,3.49,0,3.49,8.113,0.52,0,0.52,64,1.15,64,1.67,0,0,0,0,0,0,0,0,0,0,1.24,1.24,1.45,0,0,1.45,0,1.18,1.18,1.35,0,0,1.35,0,0.06,0.06,0.1,0,0,0.1,0.11,0.17,0.28,0,,0,0,,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,3.17,2.37,0,2.37,5.54,0,5.54
