geo_id,fips,county,total_med,total_agri_fish_mine,agri_fish_hunt,mining_quarrying_oilgas_extract,construction,manufacturing,wholesale_trade,retail_trade,transport_warehouse_utilities,transport_warehouse,utilities,information,fin_ins_realest,fin_ins,realest_rent_lease,total_prof_sci_mgmt_admin,prof_sci_tech,mgmt,admin_sup,total_edu_health_social,edu_serv,health_social,total_arts_ent_acc_food,arts_ent_rec,acc_food_serv,other_ser,pub_admin,year
0500000US01001,1001,"Autauga County, Alabama",31811,31793,31957,22357,30347,44452,38203,20346,50727,43272,62819,40682,33184,34125,31200,40313,42211,,31250,30306,34358,26839,11231,10272,11430,26279,46858,2010
0500000US01003,1003,"Baldwin County, Alabama",30099,33173,27342,80938,30068,41917,43444,20814,42932,40755,46016,39524,31985,38516,26030,35095,49599,,23910,34506,37341,30968,14924,17414,14765,21440,38629,2010
0500000US01005,1005,"Barbour County, Alabama",23504,16167,14464,27500,20305,27630,18777,19142,32723,23750,47143,32216,27237,33622,16450,25603,53750,,20179,22398,42264,20434,6473,10724,5972,16090,30871,2010
0500000US01007,1007,"Bibb County, Alabama",30453,45237,46064,34406,30288,36231,43403,18077,35882,36936,23935,37713,30175,32083,22500,35859,50938,67917,13636,25474,36618,21632,16530,5114,20481,30956,33095,2010
0500000US01009,1009,"Blount County, Alabama",30739,26909,25610,54375,33055,32084,33198,21461,45297,42240,60833,44128,34440,35189,33846,32995,39150,,27553,31931,36631,29958,7535,10050,7282,25326,34838,2010
0500000US01011,1011,"Bullock County, Alabama",23676,23684,23684,,27596,22663,50353,17434,34569,33219,47407,14735,24779,23750,,25250,26250,,"2,500-",35269,37218,21250,12170,43012,10071,4278,34782,2010
0500000US01013,1013,"Butler County, Alabama",24174,37240,38170,,23250,24792,43194,18879,33125,28594,60625,42841,36067,31250,37061,31250,40064,,26932,25313,28750,24970,6751,5294,6911,16979,28909,2010
0500000US01015,1015,"Calhoun County, Alabama",28435,22760,22794,22679,26503,34044,32425,20032,40393,36402,47238,26852,28589,28816,27917,31259,44556,,25112,30625,35328,25211,9024,7434,9260,18696,47836,2010
0500000US01017,1017,"Chambers County, Alabama",25886,21250,21458,,24600,29944,32667,20591,31504,27407,40492,12188,28663,28866,28056,21280,28496,,20046,26671,34176,23996,8924,67868,7279,16516,31898,2010
0500000US01019,1019,"Cherokee County, Alabama",28430,41000,41500,14423,28023,29284,40833,20511,47444,49299,45727,42996,36167,40577,24412,26518,25893,,30729,35480,43429,25632,10230,"2,500-",10302,14091,40336,2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
