fips,state,county,year,less_than_hs,hs_diploma,some_college_or_associates,college_bachelors_or_higher,pct_less_than_hs,pct_hs_diploma,pct_college_or_associates,pct_college_bachelors_or_higher,
0,US,United States,1970,52373312,34158051,11650730,11717266,47.7,31.1,10.6,10.7,
1000,AL,Alabama,1970,1062306,468269,136287,141936,58.7,25.9,7.5,7.8,
1001,AL,Autauga County,1970,6611,3757,933,767,54.8,31.1,7.7,6.4,
1003,AL,Baldwin County,1970,18726,8426,2334,2038,59.4,26.7,7.4,6.5,
1005,AL,Barbour County,1970,8120,2242,581,861,68.8,19,4.9,7.3,
1007,AL,Bibb County,1970,5272,1402,238,302,73.1,19.4,3.3,4.2,
1009,AL,Blount County,1970,10677,3440,626,404,70.5,22.7,4.1,2.7,
1011,AL,Bullock County,1970,4245,958,305,314,72.9,16.5,5.2,5.4,
1013,AL,Butler County,1970,8353,2459,499,541,70.5,20.7,4.2,4.6,
1015,AL,Calhoun County,1970,30535,13804,3823,3921,58.6,26.5,7.3,7.5,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
