geo_id,fips,county,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin,year
0500000US01003,1003,"Baldwin County, Alabama",77263,1302,6489,6134,2131,9525,3557,940,5893,9873,14753,8257,3575,4834,2010
0500000US01015,1015,"Calhoun County, Alabama",42768,337,1371,7868,750,5706,1626,779,2234,3776,8351,3799,2440,3731,2010
0500000US01043,1043,"Cullman County, Alabama",,,,,,,,,,,,,,,2010
0500000US01049,1049,"DeKalb County, Alabama",,,,,,,,,,,,,,,2010
0500000US01051,1051,"Elmore County, Alabama",,,,,,,,,,,,,,,2010
0500000US01055,1055,"Etowah County, Alabama",,,,,,,,,,,,,,,2010
0500000US01069,1069,"Houston County, Alabama",45470,790,2967,4237,1897,6225,2838,670,1980,3458,9843,5200,2658,2707,2010
0500000US01073,1073,"Jefferson County, Alabama",289454,1761,17682,27091,8859,34024,14727,8309,25021,29164,67630,26357,15828,13001,2010
0500000US01077,1077,"Lauderdale County, Alabama",39581,946,3579,4285,1364,6047,2474,439,1771,2710,8624,3551,3148,643,2010
0500000US01081,1081,"Lee County, Alabama",63718,763,3315,7701,765,7232,1976,1198,3862,4520,18639,7234,3187,3326,2010
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
