,fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,segmento,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
13646309,2016-05-28,1168150,N,ES,V,59,2013-08-21,0.0,33,1.0,,1.0,A,S,N,,KFA,N,1.0,20.0,GIPUZKOA,1.0,,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646310,2016-05-28,1168148,N,ES,V,22,2013-08-21,0.0,33,1.0,,1.0,I,S,N,,KHE,N,1.0,8.0,BARCELONA,0.0,161075.85,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646311,2016-05-28,1168168,N,ES,V,22,2013-08-21,0.0,33,1.0,,1.0,I,S,N,,KHE,N,1.0,46.0,VALENCIA,0.0,102612.21,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646312,2016-05-28,1168186,N,ES,H,22,2013-08-21,0.0,33,1.0,,1,A,S,N,,KHE,N,1.0,50.0,ZARAGOZA,0.0,93174.06,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646313,2016-05-28,1168187,N,ES,V,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,46.0,VALENCIA,0.0,177627.51,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646314,2016-05-28,1168188,N,ES,V,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,46.0,VALENCIA,0.0,,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646315,2016-05-28,1168232,N,ES,H,22,2013-08-21,0.0,33,1.0,,1,A,S,N,,KHE,N,1.0,8.0,BARCELONA,1.0,69739.41,03 - UNIVERSITARIO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0
13646316,2016-05-28,1168230,N,ES,V,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,24.0,LEON,0.0,133019.49,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646317,2016-05-28,1168228,N,ES,H,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,15.0,"CORUÑA, A",0.0,75237.96,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646318,2016-05-28,1168226,N,ES,H,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,8.0,BARCELONA,0.0,208473.69,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646319,2016-05-28,1168223,N,ES,H,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,8.0,BARCELONA,0.0,78261.6,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646320,2016-05-28,1168221,N,ES,H,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,8.0,BARCELONA,0.0,141662.1,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646321,2016-05-28,1168219,N,ES,V,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,36.0,PONTEVEDRA,1.0,73444.59,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646322,2016-05-28,1168217,N,ES,H,23,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,15.0,"CORUÑA, A",1.0,121470.18,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646323,2016-05-28,1168215,N,ES,V,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,8.0,BARCELONA,0.0,433766.73,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646324,2016-05-28,1168213,N,ES,H,22,2013-08-21,0.0,33,1.0,,1,A,S,N,,KHE,N,1.0,8.0,BARCELONA,1.0,213713.16,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646325,2016-05-28,1168211,N,ES,V,22,2013-08-21,0.0,33,1.0,,1,A,S,N,,KHE,N,1.0,15.0,"CORUÑA, A",1.0,90981.0,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646326,2016-05-28,1168210,N,ES,V,24,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,15.0,"CORUÑA, A",0.0,83528.13,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646327,2016-05-28,1168208,N,ES,H,56,2013-08-21,0.0,33,1.0,,1,A,S,N,,KAT,N,1.0,46.0,VALENCIA,1.0,91258.95,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646328,2016-05-28,1168207,N,ES,H,25,2013-08-21,0.0,33,1.0,,1,A,S,N,,KHE,N,1.0,15.0,"CORUÑA, A",1.0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646329,2016-05-28,1168206,N,ES,H,23,2013-08-21,0.0,33,1.0,,1,A,S,N,,KHE,N,1.0,15.0,"CORUÑA, A",1.0,90481.44,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
13646330,2016-05-28,1168204,N,ES,H,22,2013-08-21,0.0,33,1.0,,1,I,S,N,,KHE,N,1.0,44.0,TERUEL,0.0,78326.28,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
