id,after
0_0,Another
0_1,religious
0_2,family
0_3,is
0_4,of
0_5,Hazrat
0_6,Sayyed
0_7,Ahmad
0_8,and
0_9,his
0_10,nephew
0_11,Hazrat
0_12,Abdul
0_13,Haq
0_14,.
1_0,The
1_1,free
1_2,webapp
1_3,functionality
1_4,contains
1_5,advertisements
1_6,geared
1_7,to
1_8,small
1_9,businesses
1_10,.
2_0,Kuklick
2_1,","
2_2,p
2_3,.
2_4,75
2_5,Kuklick
2_6,","
2_7,p
2_8,.
2_9,76
2_10,Westcott
2_11,","
2_12,p
2_13,.
2_14,124
2_15,Kuklick
2_16,","
2_17,pp
2_18,.
3_0,""""
3_1,2010
3_2,FINA
3_3,World
3_4,Swimming
3_5,Championships
3_6,(
3_7,25 m
3_8,)
3_9,-
3_10,Women's
3_11,200
3_12,metre
3_13,freestyle
3_14,(
3_15,final
3_16,)
3_17,""""
3_18,.
4_0,In
4_1,2
4_2,D
4_3,the
4_4,symmetry
4_5,group
4_6,Dn
4_7,includes
4_8,reflections
4_9,in
4_10,lines
4_11,.
5_0,The
5_1,museum's
5_2,exhibition
5_3,hall
5_4,occupies
5_5,"3,400"
5_6,square
5_7,meters
5_8,(
5_9,"10,200 ft"
5_10,²
5_11,)
5_12,and
5_13,its
5_14,library
5_15,contains
5_16,"7,000"
5_17,books
5_18,.
6_0,""""
6_1,Japanese
6_2,German
6_3,relations
6_4,","
