,id,after
0,0_0,Another
1,0_1,religious
2,0_2,family
3,0_3,is
4,0_4,of
5,0_5,Hazrat
6,0_6,Sayyed
7,0_7,Ahmad
8,0_8,and
9,0_9,his
10,0_10,nephew
11,0_11,Hazrat
12,0_12,Abdul
13,0_13,Haq
14,0_14,.
15,1_0,The
16,1_1,free
17,1_2,webapp
18,1_3,functionality
19,1_4,contains
20,1_5,advertisements
21,1_6,geared
22,1_7,to
23,1_8,small
24,1_9,businesses
25,1_10,.
26,2_0,Kuklick
27,2_1,","
28,2_2,p
29,2_3,.
30,2_4,75
31,2_5,Kuklick
32,2_6,","
33,2_7,p
34,2_8,.
35,2_9,76
36,2_10,Westcott
37,2_11,","
38,2_12,p
39,2_13,.
40,2_14,124
41,2_15,Kuklick
42,2_16,","
43,2_17,pp
44,2_18,.
45,3_0,""""
46,3_1,2010
47,3_2,FINA
48,3_3,World
49,3_4,Swimming
50,3_5,Championships
51,3_6,(
52,3_7,25 m
53,3_8,)
54,3_9,-
55,3_10,Women's
56,3_11,200
57,3_12,metre
58,3_13,freestyle
59,3_14,(
60,3_15,final
61,3_16,)
62,3_17,""""
63,3_18,.
64,4_0,In
65,4_1,2
66,4_2,D
67,4_3,the
68,4_4,symmetry
69,4_5,group
70,4_6,Dn
71,4_7,includes
72,4_8,reflections
73,4_9,in
74,4_10,lines
75,4_11,.
76,5_0,The
77,5_1,museum's
78,5_2,exhibition
79,5_3,hall
80,5_4,occupies
81,5_5,"3,400"
82,5_6,square
83,5_7,meters
84,5_8,(
85,5_9,"10,200 ft"
86,5_10,²
87,5_11,)
88,5_12,and
89,5_13,its
90,5_14,library
91,5_15,contains
92,5_16,"7,000"
93,5_17,books
94,5_18,.
95,6_0,""""
96,6_1,Japanese
97,6_2,German
98,6_3,relations
99,6_4,","
100,6_5,1895
101,6_6,-
102,6_7,1945
103,6_8,""""
104,6_9,","
105,6_10,Christian
106,6_11,W.
107,6_12,Spang
108,6_13,","
109,6_14,Rolf
110,6_15,Harald
111,6_16,Wippich
112,6_17,.
113,7_0,Pgs
114,7_1,1
115,7_2,","
116,7_3,2
117,7_4,&
118,7_5,7
119,7_6,.
120,8_0,Of
121,8_1,note
122,8_2,is
123,8_3,her
124,8_4,young
125,8_5,adult
126,8_6,novel
127,8_7,","
128,8_8,Patterson
129,8_9,Heights
130,8_10,","
131,8_11,which
132,8_12,was
133,8_13,a
134,8_14,2010
135,8_15,ALA
136,8_16,Pick
137,8_17,for
138,8_18,Reluctant
139,8_19,Readers
140,8_20,.
141,9_0,Once
142,9_1,boiling
143,9_2,","
144,9_3,remove
145,9_4,heat
146,9_5,","
147,9_6,cover
148,9_7,","
149,9_8,and
150,9_9,allow
151,9_10,to
152,9_11,cook
153,9_12,for
154,9_13,10
155,9_14,minutes
156,9_15,.
157,10_0,The
158,10_1,minor
159,10_2,planet
160,10_3,was
161,10_4,named
162,10_5,for
163,10_6,the
164,10_7,town
165,10_8,Seinajoki
166,10_9,","
167,10_10,located
168,10_11,in
169,10_12,Southern
170,10_13,Ostrobothnia
171,10_14,","
172,10_15,western
173,10_16,Finland
174,10_17,.
175,11_0,""""
176,11_1,Hot
177,11_2,Dog
178,11_3,Eating
179,11_4,Champ
180,11_5,Diagnosed
181,11_6,with
182,11_7,Arthritic
183,11_8,Jaw
184,11_9,.
185,11_10,""""
186,12_0,The
187,12_1,outhouse
188,12_2,is
189,12_3,surrounded
190,12_4,by
191,12_5,and
192,12_6,covered
193,12_7,in
194,12_8,ice
195,12_9,","
196,12_10,perched
197,12_11,off
198,12_12,the
199,12_13,end
200,12_14,of
201,12_15,a
202,12_16,rock
203,12_17,.
204,13_0,Including
205,13_1,access
206,13_2,to
207,13_3,government
208,13_4,services
209,13_5,","
210,13_6,web
211,13_7,services
212,13_8,and
213,13_9,VPNs
214,13_10,.
215,14_0,Grand
216,14_1,Master
217,14_2,Jong
218,14_3,Soo
219,14_4,Park
220,14_5,:
221,14_6,Biography
222,14_7,Retrieved
223,14_8,on
224,14_9,22 February 2009
225,14_10,.
