,sentence_id,token_id,class,before,after
0,0,0,PLAIN,Brillantaisia,Brillantaisia
1,0,1,PLAIN,is,is
2,0,2,PLAIN,a,a
3,0,3,PLAIN,genus,genus
4,0,4,PLAIN,of,of
5,0,5,PLAIN,plant,plant
6,0,6,PLAIN,in,in
7,0,7,PLAIN,family,family
8,0,8,PLAIN,Acanthaceae,Acanthaceae
9,0,9,PUNCT,.,.
10,1,0,DATE,2006,two thousand six
11,1,1,LETTERS,IUCN,i u c n
12,1,2,PLAIN,Red,Red
13,1,3,PLAIN,List,List
14,1,4,PLAIN,of,of
15,1,5,PLAIN,Threatened,Threatened
16,1,6,PLAIN,Species,Species
17,1,7,PUNCT,.,.
18,2,0,PLAIN,Circa,Circa
19,2,1,PLAIN,Survive,Survive
20,2,2,PLAIN,draw,draw
21,2,3,PLAIN,influences,influences
22,2,4,PLAIN,from,from
23,2,5,PLAIN,soft,soft
24,2,6,PLAIN,rock,rock
25,2,7,PUNCT,",",","
26,2,8,PLAIN,post,post
27,2,9,PLAIN,hardcore,hardcore
28,2,10,PUNCT,",",","
29,2,11,PLAIN,experimental,experimental
30,2,12,PLAIN,rock,rock
31,2,13,PUNCT,",",","
32,2,14,PLAIN,emo,emo
33,2,15,PUNCT,",",","
34,2,16,PLAIN,progressive,progressive
35,2,17,PLAIN,rock,rock
36,2,18,PUNCT,",",","
37,2,19,PLAIN,art,art
38,2,20,PLAIN,rock,rock
39,2,21,PUNCT,",",","
40,2,22,PLAIN,and,and
41,2,23,PLAIN,pop,pop
42,2,24,PLAIN,musicians,musicians
43,2,25,PUNCT,.,.
44,3,0,PLAIN,Circa,Circa
45,3,1,PLAIN,Survive,Survive
46,3,2,PLAIN,opened,opened
47,3,3,PLAIN,for,for
48,3,4,PLAIN,My,My
49,3,5,PLAIN,Chemical,Chemical
50,3,6,PLAIN,Romance's,Romance's
51,3,7,DATE,2007,two thousand seven
52,3,8,PLAIN,shows,shows
53,3,9,PLAIN,in,in
54,3,10,PLAIN,Worcester,Worcester
55,3,11,PLAIN,and,and
56,3,12,PLAIN,Australian,Australian
57,3,13,PLAIN,and,and
58,3,14,PLAIN,New,New
59,3,15,PLAIN,Zealand,Zealand
60,3,16,PLAIN,shows,shows
61,3,17,PLAIN,as,as
62,3,18,PLAIN,well,well
63,3,19,PUNCT,.,.
64,4,0,PLAIN,It,It
65,4,1,PLAIN,has,has
66,4,2,PLAIN,a,a
67,4,3,PLAIN,greyish,greyish
68,4,4,PLAIN,green,green
69,4,5,PUNCT,",",","
70,4,6,PLAIN,densely,densely
71,4,7,PLAIN,hairy,hairy
72,4,8,PLAIN,stem,stem
73,4,9,PLAIN,and,and
74,4,10,PLAIN,alternate,alternate
75,4,11,PUNCT,",",","
76,4,12,PLAIN,palmately,palmately
77,4,13,PLAIN,lobed,lobed
78,4,14,PLAIN,leaves,leaves
79,4,15,PUNCT,.,.
80,5,0,DATE,2008,two thousand eight
81,5,1,PLAIN,Tour,Tour
82,5,2,PLAIN,with,with
83,5,3,PLAIN,Madina,Madina
84,5,4,PLAIN,Lake,Lake
85,5,5,PUNCT,",",","
86,5,6,PLAIN,Coheed,Coheed
87,5,7,PLAIN,and,and
88,5,8,PLAIN,Cambria,Cambria
89,5,9,PLAIN,and,and
90,5,10,PLAIN,Fightstar,Fightstar
91,5,11,PUNCT,.,.
92,6,0,PLAIN,Greek,Greek
93,6,1,PLAIN,National,National
94,6,2,PLAIN,Road,Road
95,6,3,CARDINAL,91,ninety one
96,6,4,PUNCT,(,(
97,6,5,PLAIN,Athens,Athens
98,6,6,PUNCT,—,—
99,6,7,PLAIN,Sounio,Sounio
100,6,8,PUNCT,),)
101,6,9,PLAIN,passes,passes
102,6,10,PLAIN,through,through
103,6,11,PLAIN,the,the
104,6,12,PLAIN,town,town
105,6,13,PUNCT,.,.
106,7,0,PLAIN,Rocky,Rocky
107,7,1,PLAIN,Mountain,Mountain
108,7,2,PLAIN,News,News
109,7,3,PUNCT,.,.
110,8,0,PLAIN,Retrieved,Retrieved
111,8,1,DATE,4 March 2014,the fourth of march twenty fourteen
112,8,2,PUNCT,.,.
113,9,0,PLAIN,The,The
114,9,1,PLAIN,Brilliance,Brilliance
115,9,2,LETTERS,BC,b c
116,9,3,CARDINAL,3,three
117,9,4,PLAIN,is,is
118,9,5,PLAIN,a,a
119,9,6,PLAIN,sport,sport
120,9,7,PLAIN,compact,compact
121,9,8,PLAIN,sized,sized
122,9,9,PLAIN,coupé,coupé
123,9,10,PLAIN,produced,produced
124,9,11,PLAIN,by,by
125,9,12,PLAIN,the,the
126,9,13,PLAIN,Brilliance,Brilliance
127,9,14,PLAIN,Auto,Auto
128,9,15,PLAIN,in,in
129,9,16,PLAIN,the,the
130,9,17,PLAIN,People's,People's
131,9,18,PLAIN,Republic,Republic
132,9,19,PLAIN,of,of
133,9,20,PLAIN,China,China
134,9,21,PUNCT,.,.
135,10,0,PLAIN,University,University
136,10,1,PLAIN,of,of
137,10,2,PLAIN,California,California
138,10,3,PLAIN,publications,publications
139,10,4,PLAIN,in,in
140,10,5,PLAIN,linguistics,linguistics
141,10,6,PUNCT,(,(
142,10,7,PLAIN,vol,volume
143,10,8,CARDINAL,35,thirty five
144,10,9,PUNCT,),)
145,10,10,PUNCT,.,.
146,11,0,PLAIN,Retrieved,Retrieved
147,11,1,DATE,"April 10, 2013",april tenth twenty thirteen
148,11,2,PUNCT,.,.
149,12,0,PLAIN,Downloaded,Downloaded
150,12,1,PLAIN,on,on
151,12,2,DATE,7 August 2007,the seventh of august two thousand seven
152,12,3,PUNCT,.,.
153,13,0,PLAIN,China,China
154,13,1,PLAIN,Car,Car
155,13,2,PLAIN,Times,Times
156,13,3,PUNCT,.,.
157,14,0,PUNCT,"""",""""
158,14,1,DATE,1987,nineteen eighty seven
159,14,2,LETTERS,ALCS,a l c s
160,14,3,PLAIN,Game,Game
161,14,4,CARDINAL,2,two
162,14,5,VERBATIM,-,-
163,14,6,PLAIN,Detroit,Detroit
164,14,7,PLAIN,Tigers,Tigers
165,14,8,PLAIN,vs,versus
166,15,0,PLAIN,This,This
167,15,1,PLAIN,species,species
168,15,2,PLAIN,is,is
169,15,3,PLAIN,endemic,endemic
170,15,4,PLAIN,to,to
171,15,5,PLAIN,Palau,Palau
172,15,6,PUNCT,.,.
173,16,0,PLAIN,However,However
174,16,1,PUNCT,",",","
175,16,2,PLAIN,Kaede's,Kaede's
176,16,3,PLAIN,oiled,oiled
177,16,4,PLAIN,hair,hair
178,16,5,PLAIN,accidentally,accidentally
179,16,6,PLAIN,catches,catches
180,16,7,PLAIN,fire,fire
181,16,8,PUNCT,.,.
182,17,0,PLAIN,As,As
183,17,1,PLAIN,it,it
184,17,2,PLAIN,starts,starts
185,17,3,PLAIN,to,to
186,17,4,PLAIN,snow,snow
187,17,5,PUNCT,",",","
188,17,6,PLAIN,Takeo,Takeo
189,17,7,PLAIN,prays,prays
190,17,8,PLAIN,the,the
191,17,9,PLAIN,spring,spring
192,17,10,PLAIN,would,would
193,17,11,PLAIN,bring,bring
194,17,12,PLAIN,healing,healing
195,17,13,PLAIN,to,to
196,17,14,PLAIN,his,his
197,17,15,PLAIN,land,land
198,17,16,PUNCT,.,.
199,18,0,PLAIN,Francois,Francois
200,18,1,PUNCT,",",","
201,18,2,LETTERS,C.,c
202,18,3,PUNCT,",",","
203,18,4,PLAIN,Yelnik,Yelnik
204,18,5,PUNCT,",",","
205,18,6,LETTERS,J.,j
206,18,7,PUNCT,",",","
207,18,8,PLAIN,Percheron,Percheron
208,18,9,PUNCT,",",","
209,18,10,LETTERS,G.,g
210,18,11,PUNCT,(,(
211,18,12,DATE,1996,nineteen ninety six
212,18,13,PUNCT,),)
213,18,14,PLAIN,A,A
214,18,15,PLAIN,stereotactic,stereotactic
215,18,16,PLAIN,atlas,atlas
216,18,17,PLAIN,of,of
217,18,18,PLAIN,the,the
218,18,19,PLAIN,basal,basal
219,18,20,PLAIN,ganglia,ganglia
220,18,21,PLAIN,in,in
221,18,22,PLAIN,Macaques,Macaques
222,18,23,PUNCT,.,.
223,19,0,PUNCT,"""",""""
